"DESCRIPTION","NAME","OFFERID","PICTURE","PRICE","URL"
"None","Леска для триммера ф2 мм 15м витой квадрат","37764871","https://www.enkor24.ru/u/images/products/e4/e45b1e003b027977153a8e4cda62832aa6d971a6.jpg","125","https://www.enkor24.ru/product/114157-leska-dlya-trimmera-f2-mm-15m-vitoj-kvadrat"
"None","Леска для триммера ф2,4 мм 15м витой квадрат","37764872","https://www.enkor24.ru/u/images/products/cc/ccb7f965fb5bed412571639030c939229baaff50.jpg","150","https://www.enkor24.ru/product/114158-leska-dlya-trimmera-f2-4-mm-15m-vitoj-kvadrat"
"None","Леска для триммера ф2,4 мм 15м квадрат с жилой","37764873","https://www.enkor24.ru/u/images/products/bd/bdf247f29ece643bbe34b36950311f0755ab5a8e.jpg","190","https://www.enkor24.ru/product/114170-leska-dlya-trimmera-f2-4-mm-15m-kvadrat-s-zhiloj"
"None","Леска для триммера ф2,4 мм 15м вит квадрат с жилой","37764874","https://www.enkor24.ru/u/images/products/2c/2c6208255bda36df138abd0d2cc70ec7c1b33eb4.jpg","170","https://www.enkor24.ru/product/114171-leska-dlya-trimmera-f2-4-mm-15m-vit-kvadrat-s-zhiloj"
"None","Леска для триммера ф3 мм 15м с металл сердечником","37764875","https://www.enkor24.ru/u/images/products/12/1290065e35cd20068fe411de5414741dba174783.jpg","530","https://www.enkor24.ru/product/114172-leska-dlya-trimmera-f3-mm-15m-s-metall-serdechnikom"
"None","Леска для триммера ф3 мм 15м квадрат с жилой","37764876","https://www.enkor24.ru/u/images/products/4e/4eda16434cf455f603f43fb1ebac739d093d5248.jpg","275","https://www.enkor24.ru/product/114195-leska-dlya-trimmera-f3-mm-15m-kvadrat-s-zhiloj"
"None","Леска для триммера витой квадрат (3.0 мм; 150 м) ON (15-01-334)","37764877","https://www.enkor24.ru/u/images/products/70/7053cdf86757f206a2a2843b69a9e70ef5ff423c.jpg","2380","https://www.enkor24.ru/product/115590-leska-dlya-trimmera-vitoj-kvadrat-3-0-mm-150-m-on-15-01-334"
"Сверло HSS-Cо Standardline Bosch 2608585872 предназначено для работы по легированной и нелегированной стали, у которой п","Сверло по металлу hss-co standart (ф1х12/34мм) Bosch (2 608 585 872)","37764878","https://www.enkor24.ru/u/images/products/sd/hss-g.jpg","118","https://www.enkor24.ru/product/10628-sverlo-po-metallu-hss-co-standart-f1x12-34mm-bosch-2-608-585-872"
"Сверло HSS-Cо Standardline Bosch 2608585873 предназначено для работы по легированной и нелегированной стали, у которой п","Сверло по металлу hss-co standart (ф1.5х18/40мм) Bosch (2 608 585 873)","37764879","https://www.enkor24.ru/u/images/products/sd/hss-g.jpg","125","https://www.enkor24.ru/product/10633-sverlo-po-metallu-hss-co-standart-f1-5x18-40mm-bosch-2-608-585-873"
"Сверло HSS-Cо Standardline Bosch 2608585898 предназначено для работы по легированной и нелегированной стали, у которой п","Сверло по металлу hss-co standart (ф10х87/133мм) Bosch (2 608 585 898)","37764880","https://www.enkor24.ru/u/images/products/sd/hss-g.jpg","970","https://www.enkor24.ru/product/10639-sverlo-po-metallu-hss-co-standart-f10x87-133mm-bosch-2-608-585-898"
"Сверло HSS-Cо Standardline Bosch 2608585901 предназначено для работы по легированной и нелегированной стали, у которой п","Сверло по металлу hss-co standart (ф11х94/142мм) Bosch (2 608 585 901)","37764881","https://www.enkor24.ru/u/images/products/sd/hss-g.jpg","1020","https://www.enkor24.ru/product/10643-sverlo-po-metallu-hss-co-standart-f11x94-142mm-bosch-2-608-585-901"
"Сверло HSS-Cо Standardline Bosch 2608585903 предназначено для работы по легированной и нелегированной стали, у которой п","Сверло по металлу hss-co standart (ф12х101/151мм) Bosch (2 608 585 903)","37764882","https://www.enkor24.ru/u/images/products/sd/hss-g.jpg","1070","https://www.enkor24.ru/product/10648-sverlo-po-metallu-hss-co-standart-f12x101-151mm-bosch-2-608-585-903"
"Сверло HSS-Cо Standardline Bosch 2608585904 предназначено для работы по легированной и нелегированной стали, у которой п","Сверло по металлу hss-co standart (ф12.5х101/151мм) Bosch (2 608 585 904)","37764883","https://www.enkor24.ru/u/images/products/sd/hss-g.jpg","1420","https://www.enkor24.ru/product/10650-sverlo-po-metallu-hss-co-standart-f12-5x101-151mm-bosch-2-608-585-904"
"Сверло HSS-Cо Standardline Bosch 2608585905 предназначено для работы по легированной и нелегированной стали, у которой п","Сверло по металлу hss-co standart (ф13х101/151мм) Bosch (2 608 585 905)","37764884","https://www.enkor24.ru/u/images/products/sd/hss-g.jpg","2120","https://www.enkor24.ru/product/10651-sverlo-po-metallu-hss-co-standart-f13x101-151mm-bosch-2-608-585-905"
"Сверло HSS-Cо Standardline Bosch 2608585874 предназначено для работы по легированной и нелегированной стали, у которой п","Сверло по металлу hss-co standart (ф2х24/49мм) Bosch (2 608 585 874)","37764885","https://www.enkor24.ru/u/images/products/sd/hss-g.jpg","106","https://www.enkor24.ru/product/10655-sverlo-po-metallu-hss-co-standart-f2x24-49mm-bosch-2-608-585-874"
"Сверло HSS-Cо Standardline Bosch предназначено для работы по легированной и нелегированной стали, у которой предел прочн","Сверло по металлу hss-co standart (ф2.5х30/57мм) Bosch (2 608 585 875)","37764886","https://www.enkor24.ru/u/images/products/sd/hss-g.jpg","111","https://www.enkor24.ru/product/10666-sverlo-po-metallu-hss-co-standart-f2-5x30-57mm-bosch-2-608-585-875"
"Сверло HSS-Cо Standardline Bosch 2608585876 предназначено для работы по легированной и нелегированной стали, у которой п","Сверло по металлу hss-co standart (ф3х33/61мм) Bosch (2 608 585 876)","37764887","https://www.enkor24.ru/u/images/products/sd/hss-g.jpg","129","https://www.enkor24.ru/product/10678-sverlo-po-metallu-hss-co-standart-f3x33-61mm-bosch-2-608-585-876"
"Сверло HSS-CO STANDARD Bosch 2608585877 предназначено для работы по легированной и нелегированной стали, у которой преде","Сверло по металлу hss-co standart (ф3.2х36/65мм) Bosch (2 608 585 877)","37764888","https://www.enkor24.ru/u/images/products/sd/hss-g.jpg","134","https://www.enkor24.ru/product/10684-sverlo-po-metallu-hss-co-standart-f3-2x36-65mm-bosch-2-608-585-877"
"Сверло Bosch2 608 585 878 — это стандартное сверло для профессионального использования. Оно изготовлено из быстрорежущей","Сверло по металлу hss-co standart (ф3.3х36/65мм) Bosch (2 608 585 878)","37764889","https://www.enkor24.ru/u/images/products/sd/hss-g.jpg","151","https://www.enkor24.ru/product/10688-sverlo-po-metallu-hss-co-standart-f3-3x36-65mm-bosch-2-608-585-878"
"Сверло HSS-Cо Standardline Bosch 2608585878 предназначено для работы по легированной и нелегированной стали, у которой п","Сверло по металлу hss-co standart (ф3.5х39/70мм) Bosch (2 608 585 879)","37764890","https://www.enkor24.ru/u/images/products/sd/hss-g.jpg","154","https://www.enkor24.ru/product/10694-sverlo-po-metallu-hss-co-standart-f3-5x39-70mm-bosch-2-608-585-879"
"Сверло HSS-Cо Standardline Bosch 2608585880 предназначено для работы по легированной и нелегированной стали, у которой п","Сверло по металлу hss-co standart (ф4х43/75мм) Bosch (2 608 585 880)","37764891","https://www.enkor24.ru/u/images/products/sd/hss-g.jpg","165","https://www.enkor24.ru/product/10704-sverlo-po-metallu-hss-co-standart-f4x43-75mm-bosch-2-608-585-880"
"Сверло HSS-Cо Standardline Bosch 2608585881 предназначено для работы по легированной и нелегированной стали, у которой п","Сверло по металлу hss-co standart (ф4.1х43/75мм) Bosch (2 608 585 881)","37764892","https://www.enkor24.ru/u/images/products/sd/hss-g.jpg","182","https://www.enkor24.ru/product/10708-sverlo-po-metallu-hss-co-standart-f4-1x43-75mm-bosch-2-608-585-881"
"Сверло HSS-Cо Standardline Bosch 2608585882 предназначено для работы по легированной и нелегированной стали, у которой п","Сверло по металлу hss-co standart (ф4.2х43/75мм) Bosch (2 608 585 882)","37764893","https://www.enkor24.ru/u/images/products/sd/hss-g.jpg","181","https://www.enkor24.ru/product/10712-sverlo-po-metallu-hss-co-standart-f4-2x43-75mm-bosch-2-608-585-882"
"Сверло HSS-Cо Standardline Bosch 2608585883 предназначено для работы по легированной и нелегированной стали, у которой п","Сверло по металлу hss-co standart (ф4.5х47/80мм) Bosch (2 608 585 883)","37764894","https://www.enkor24.ru/u/images/products/sd/hss-g.jpg","181","https://www.enkor24.ru/product/10720-sverlo-po-metallu-hss-co-standart-f4-5x47-80mm-bosch-2-608-585-883"
"Сверло HSS-Cо Standardline Bosch 2608585884 предназначено для работы по легированной и нелегированной стали, у которой п","Сверло по металлу hss-co standart (ф4.8х52/86мм) Bosch (2 608 585 884)","37764895","https://www.enkor24.ru/u/images/products/sd/hss-g.jpg","186","https://www.enkor24.ru/product/10727-sverlo-po-metallu-hss-co-standart-f4-8x52-86mm-bosch-2-608-585-884"
"Сверло HSS-Cо Standardline Bosch 2608585887 предназначено для работы по легированной и нелегированной стали, у которой п","Сверло по металлу hss-co standart (ф5.2х52/86мм) Bosch (2 608 585 887)","37764896","https://www.enkor24.ru/u/images/products/sd/hss-g.jpg","255","https://www.enkor24.ru/product/10729-sverlo-po-metallu-hss-co-standart-f5-2x52-86mm-bosch-2-608-585-887"
"Сверло HSS-CO STANDARD Bosch 2608585885 предназначено для работы по легированной и нелегированной стали, у которой преде","Сверло по металлу hss-co standart (ф5х52/86мм) Bosch (2 608 585 885)","37764897","https://www.enkor24.ru/u/images/products/sd/hss-g.jpg","191","https://www.enkor24.ru/product/10733-sverlo-po-metallu-hss-co-standart-f5x52-86mm-bosch-2-608-585-885"
"None","Сверло по металлу hss-co standart (ф5.5х57/93мм) Bosch (2 608 585 888)","37764898","https://www.enkor24.ru/u/images/products/sd/hss-g.jpg","248","https://www.enkor24.ru/product/10745-sverlo-po-metallu-hss-co-standart-f5-5x57-93mm-bosch-2-608-585-888"
